wiki_id,scan,rt,precursor_mz,charge,binbase-splash,user_annotation-name,key,library_search-identity_score,smiles,msms,hidden,ms1_inte,adduct,method
aYSUJ8A/WNJMTV4W,1,251.40000000000003,947.8798,1,splash10-0002-6300009000-31dd6f8fee8a76f152a0,1_TG 18:1-21:2-18:1-d5,1,0.9407494068145752,[2H]C([2H])(OC(=O)CCCCCCCC=CCCCCCCCC)C([2H])(OC(=O)CCCCCCCCCCC=CCC=CCCCCC)C([2H])([2H])OC(=O)CCCCCCCC=CCCCCCCCC,"67.05435	251807.0
69.06995	199305.0
71.04897	8732.0
71.08561	31877.0
77.54865	5071.0
79.05426	52775.0
81.06993	332664.0
81.07535	10630.0
83.08556	166654.0
85.0646	5830.0
85.10097	10143.0
91.05424	7641.0
93.06999	84984.0
95.08559	329985.0
97.06481	17970.0
97.09431	6272.0
97.10126	131513.0
99.08041	16111.0
105.06965	4068.0
107.08563	58925.0
109.10121	175666.0
111.08031	9037.0
111.11678	50711.0
121.10116	142172.0
123.1168	74266.0
133.10033	10468.0
135.11685	130844.0
137.13257	39332.0
147.11702	9029.0
149.1327	48812.0
151.14763	20034.0
153.12679	5586.0
161.13206	8202.0
163.14803	16353.0
165.16408	18539.0
175.14818	5988.0
182.44598	4666.0
191.17827	5362.0
198.11125	4813.0
220.67445	8657.0
247.24121	31952.0
265.25217	75889.0
287.27228	6749.0
305.2839	64279.0
344.31955	50538.0
365.3329	6061.0
366.3419	6523.0
384.35052	29061.0
606.5499	6317.0
608.5656	584226.0
612.7707	4814.0
647.5928	8960.0
648.59686	1558020.0
650.61066	9190.0
930.8564	18803.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/6QML39WN,2,138.6,766.67829,1,splash10-0006-0900000000-c07a35ed3ee1d6c25cf9,1_SM 20:1 (d18:1/20:1)-d9,2,0.757248044013977,[2H]C([2H])([2H])[N+](CCOP(=O)([O-])OC[CH](N=C(O)CCCCCCCCCC=CCCCCCCCC)[CH](O)C=CCCCCCCCCCCCCC)(C([2H])([2H])[2H])C([2H])([2H])[2H],"64.104	12043.0
66.11662	4521.0
69.13739	45305.0
75.87835	3381.0
77.11027	3796.0
88.11194	5238.0
95.15289	190973.0
98.98506	4985.0
111.07899	3869.0
113.16331	46841.0
113.42928	3862.0
124.99986	56384.0
192.12378	40894.0
193.1298	3935366.0
220.68095	7218.0
232.90112	3929.0
281.09204	3454.0
387.6804	3792.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/GQSUQ82R,3,12.6,319.26707,1,splash10-00kr-9105000000-a38bc2632afcb3c80728,"acylcarnitine, 10:0- D3",3,0.7857783436775208,[2H]C([2H])([2H])[N+](C)(C)CC(CC(=O)O)OC(=O)CCCCCCCCC,"63.09977	65655.0
69.07008	2148.0
71.08587	3540.0
72.00378	2494.0
81.06979	4507.0
85.02844	535502.0
85.10146	3347.0
88.54106	2256.0
95.08553	11849.0
95.9819	2811.0
97.06477	9088.0
99.04426	10238.0
101.05937	2798.0
101.54559	2317.0
109.06496	3401.0
109.10139	5327.0
110.67187	2758.0
111.04428	2563.0
113.0595	2778.0
115.07488	3624.0
115.57217	2173.0
121.10076	3382.0
123.0804	11936.0
139.0754	2555.0
147.12077	11017.0
155.1428	28464.0
177.80379	2358.0
196.41158	2520.0
257.17447	66076.0
279.55148	2582.0
310.50598	2202.0
319.11542	4428.0
319.1509	9047.0
319.19223	9895.0
319.2667	386665.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/389CCTTR,4,170.39999999999998,655.60318,1,splash10-00lr-6519000000-88a04fa0493c3930f681,1_17:0-20:3 DG-d5,4,0.9497316479682922,[2H]C([2H])(O)[C]([2H])(OC(=O)CCCCCCCCCC=CCC=CCC=CCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC,"61.05877	19477.0
67.05432	76147.0
68.06057	3122.0
69.06996	32005.0
71.08157	5169.0
71.08564	90716.0
71.6359	3333.0
72.84249	2873.0
79.05424	27012.0
81.06989	126879.0
82.07619	5991.0
83.07663	7022.0
83.08565	60987.0
85.10118	69625.0
91.05434	6392.0
93.07005	53014.0
94.51324	3063.0
95.08557	148764.0
97.06467	5913.0
97.10137	45870.0
99.08051	4154.0
99.11702	4212.0
105.07022	24540.0
107.08556	48034.0
109.1012	86621.0
111.11674	14776.0
113.09608	5814.0
117.06985	4461.0
119.08543	14689.0
121.1011	62273.0
123.08015	4552.0
123.11697	47184.0
125.09513	3552.0
131.08563	31654.0
133.10112	18298.0
135.11708	41366.0
136.63707	3069.0
137.09616	3528.0
137.13225	14696.0
145.10146	23340.0
147.11687	15559.0
149.13246	24003.0
151.1477	5994.0
153.99129	3542.0
159.11661	18341.0
161.1324	19123.0
163.14764	36793.0
165.1632	4327.0
172.74883	3741.0
173.13187	23095.0
175.14792	20485.0
177.16344	29314.0
187.14769	17814.0
189.1639	17746.0
191.14183	3623.0
191.17911	27490.0
201.16347	14487.0
205.15894	3493.0
205.19559	7028.0
215.17885	5760.0
219.17601	3634.0
220.50249	5849.0
229.19348	3118.0
243.21095	3423.0
253.25365	19695.0
261.2566	4900.0
271.2389	49799.0
272.26978	4538.0
289.25217	101294.0
327.13678	3384.0
331.31158	4829.0
332.32047	654982.0
350.3099	14852.0
368.32043	418816.0
620.56537	107732.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/2W9WOA60,5,16.200000000000003,341.27987,1,splash10-014i-0690000000-4e51f8e4594cd5f41b77,1_CUDA,5,0.942374050617218,C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O,"68.58422	50929.0
83.0854	309526.0
93.44415	43927.0
100.11202	4575558.0
116.30547	43083.0
163.14781	97966.0
196.16934	67993.0
197.19998	67114.0
198.04272	53717.0
198.18512	6934048.0
216.19563	15234462.0
220.45955	85538.0
223.17978	54906.0
224.16406	187633.0
235.9954	42240.0
241.19041	252815.0
242.1744	107084.0
258.07547	50489.0
323.26886	1079046.0
341.27905	297739.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/G8VDP694,6,144.0,761.58517,1,splash10-00di-5200009000-c217afcfce6b303e30f0,1_PE 17:0-20:3-d5,6,0.9286059141159058,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCCCC=CCC=CCC=CCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"60.03273	3315.0
67.05435	49027.0
67.49868	2819.0
69.06989	31389.0
70.34035	3171.0
71.08557	53405.0
71.08946	6066.0
79.05418	31490.0
80.51975	3028.0
81.06499	3605.0
81.0699	64287.0
83.0854	27645.0
85.06467	3902.0
85.09647	2961.0
85.1012	44281.0
91.05399	15781.0
93.06985	60037.0
95.0855	69085.0
97.10098	20052.0
105.06975	13469.0
107.08573	35801.0
109.10126	33366.0
119.08571	7100.0
121.10112	27412.0
123.11635	19003.0
131.08536	7350.0
133.10081	5337.0
134.45705	3436.0
135.11626	12927.0
137.13216	4419.0
147.11653	5104.0
149.13272	4474.0
161.13223	3545.0
163.1478	18947.0
174.60712	3291.0
184.07361	4329.0
220.66069	4587.0
220.68233	4086.0
253.25348	11897.0
258.8102	3548.0
289.25275	5006.0
320.15277	3966.0
332.2946	19275.0
368.3195	16097.0
620.565	782807.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/ZDMUU65S,7,110.4,729.54369,1,splash10-0006-3100090000-9fb2480ec8135f47aa13,1_PG 17:0-14:1-d5,7,0.8277204632759094,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCC)C([2H])([2H])OP(=O)(O)OCC(O)CO,"65.49734	3215.0
67.05439	12005.0
69.06992	14257.0
71.08562	22145.0
81.06984	16869.0
83.08553	15847.0
85.10111	5807.0
95.08545	24499.0
97.10142	5690.0
107.08535	3710.0
109.10142	21952.0
111.11704	4548.0
121.1011	11975.0
123.11682	5571.0
209.19028	3353.0
220.68164	5647.0
253.25241	3150.0
332.3221	5417.0
388.6659	4015.0
540.50256	297264.0
729.3825	4875.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/UPPKMH9H,10,235.8,813.77025,1,splash10-052f-6310090000-c04705b34204b7884faf,1_TG 16:0-15:1-16:0-d5,10,0.9456787109375,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCC=CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC,"67.05434	700036.0
69.06998	757249.0
71.04922	26532.0
71.08557	1290833.0
77.73531	20204.0
79.05415	98094.0
81.06992	1428510.0
83.08555	1165408.0
85.06464	89172.0
85.1012	989880.0
89.44912	17072.0
93.06991	161802.0
95.08556	1676706.0
97.06458	39459.0
97.10123	818920.0
99.08038	125767.0
99.11662	90261.0
107.08538	198229.0
109.10118	1272392.0
111.0799	68512.0
111.10876	16113.0
111.11681	331233.0
113.13213	34702.0
121.10114	546763.0
123.11684	1016660.0
125.13293	162120.0
135.11732	634240.0
137.13248	346693.0
149.13248	311072.0
151.14761	87201.0
159.80629	19030.0
163.14792	89893.0
165.16441	37177.0
167.14185	24129.0
193.01688	17701.0
205.19498	307253.0
221.2259	135828.0
223.20557	495248.0
239.23688	920453.0
302.27304	104876.0
318.30533	288061.0
539.49854	40456.0
540.5031	9103668.0
556.5343	3292976.0
568.5331	29980.0
656.29956	18539.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/QDLDD2J1,11,163.8,603.57188,1,splash10-0159-3109040000-773b7221a1c244ff3a31,1_17:0-16:1 DG-d5,11,0.8065758347511292,[2H]C([2H])(O)[C]([2H])(OC(=O)CCCCCCCC=CCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCCC,"67.02751	2464.0
67.05417	3489.0
69.06995	3515.0
71.08547	6115.0
81.06985	5352.0
83.08533	5016.0
95.08511	9939.0
97.10086	5052.0
108.12183	2631.0
109.10081	3857.0
121.10125	3221.0
169.08488	2727.0
194.32222	2704.0
225.38907	2755.0
316.28888	53123.0
332.32028	42890.0
502.17563	2786.0
537.4495	2636.0
556.74194	3167.0
568.53455	36367.0
603.29114	3793.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/DLLMEMGA,12,226.2,785.73895,1,splash10-0006-6310090000-026d66f43b36330d1bbc,1_TG 14:0-17:1-14:0-d5,12,0.9310381412506104,[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCC=CCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC,"63.66696	14736.0
63.67865	20853.0
67.05434	580687.0
69.06578	27108.0
69.06999	837610.0
71.08559	1243269.0
72.88409	19680.0
79.05425	38858.0
81.06994	1305937.0
83.08556	779147.0
83.2118	19490.0
85.06463	72590.0
85.10123	801647.0
93.07004	122797.0
95.08556	1871328.0
97.06477	26036.0
97.10133	737486.0
99.08026	84804.0
99.11662	22993.0
107.08543	110810.0
109.10123	1065954.0
111.08029	23143.0
111.1169	559403.0
121.10118	395702.0
123.11681	660532.0
131.65479	15496.0
135.1175	481500.0
137.13252	417466.0
139.11125	23870.0
146.37566	17462.0
149.13257	261140.0
151.14801	223283.0
163.14801	96353.0
164.77954	20636.0
167.14137	21597.0
177.1635	27556.0
191.17883	21185.0
193.19475	150233.0
211.20563	1363651.0
220.49777	38119.0
228.2302	21246.0
233.22537	250553.0
251.23697	544308.0
290.27457	222724.0
330.30472	82507.0
382.50256	17685.0
394.59012	16991.0
500.47183	3276257.0
539.4927	32275.0
540.50323	7810242.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/Y9YZ3OQO,13,46.8,515.3868,1,splash10-0f89-0900000000-2ca541b877618587cf47,1_LPC 17:0-d5,13,0.9407018423080444,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(O)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"60.08101	172583.0
68.82484	22491.0
86.09644	529713.0
104.10699	4337360.0
124.99973	113766.0
165.19164	13780.0
184.0733	6379918.0
185.0783	33197.0
188.74745	15482.0
205.24167	15435.0
210.20934	16699.0
214.19388	15745.0
220.47423	16032.0
220.49454	20749.0
263.14133	116673.0
270.94156	14274.0
292.41922	19038.0
332.32065	250216.0
419.96594	16753.0
438.30405	63284.0
497.3765	395152.0
515.3865	306941.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/ZVWGNYA3,14,112.8,710.61569,1,splash10-0006-0900000000-1fb0205e18a0d477e512,1_SM 16:1 (d18:1/16:1)-d9,14,0.9430100321769714,[2H]C([2H])([2H])[N+](CCOP(=O)([O-])OC[CH](N=C(O)CCCCCCCC=CCCCCCC)[CH](O)C=CCCCCCCCCCCCCC)(C([2H])([2H])[2H])C([2H])([2H])[2H],"64.104	21278.0
69.13733	298208.0
77.11061	31457.0
95.15288	1233042.0
98.98487	26942.0
113.16351	189138.0
124.99975	473426.0
192.12338	127037.0
193.12978	15655869.0
417.50427	20162.0
472.07788	23509.0
596.91364	17268.0
692.60583	39649.0
710.6103	211020.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/KWXZOISU,15,166.2,822.74089,1,splash10-0006-0900000000-ed088cbf5adf62b407e4,1_SM 24:1 (d18:1/24:1)-d9,15,0.900216281414032,[2H]C([2H])([2H])[N+](CCOP(=O)([O-])OC[CH](N=C(O)CCCCCCCCCCCCCC=CCCCCCCCC)[CH](O)C=CCCCCCCCCCCCCC)(C([2H])([2H])[2H])C([2H])([2H])[2H],"64.10056	8448.0
64.10374	14977.0
66.11671	11029.0
69.13734	179006.0
76.82474	8427.0
77.11068	33453.0
95.15289	709518.0
113.1635	143302.0
117.0591	8041.0
124.99979	245723.0
181.55536	9043.0
192.12369	184366.0
193.1298	14541137.0
193.86469	10298.0
214.84134	105310.0
264.26965	33596.0
305.1355	9518.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
